sample_name	treatment	clone	jointly_handled
GSM5513836	AFF4_DSG_DPY30mAID_0h
GSM5513838	AFF4_DSG_RBBP5FKBP_0h
GSM5513840	BRD4_abcam_DPY30mAID_0h
GSM5513842	BRD4_abcam_RBBP5FKBP_0h
GSM5513844	CDK9_DPY30mAID_0h
GSM5513846	CDK9_RBBP5FKBP_0h
GSM5513848	H3K4me1_RBBP5FKBP_0h
GSM5513853	H3K4me2_RBBP5FKBP_0h
GSM5513863	H3K4me3_DPY30mAID_Kdm5dKO_Auxin_0h
GSM5513870	H3K4me3_RBBP5FKBP_0h
GSM5513874	HEXIM1_DSG_DPY30mAID_0h
GSM5513876	HEXIM1_DSG_RBBP5FKBP_0h
GSM5513878	Pol2NTD_DPY30mAID_DMSO2h_RA_0h
GSM5513880	Pol2NTD_DPY30mAID_IAA2h_RA_0h
GSM5513882	Pol2_CTD_DPY30mAID_Kdm5dKO_Auxin_0h
GSM5513885	Pol2_NTD_CST_RBBP5FKBP_0h
GSM5513889	Pol2ser2_Motif_DPY30mAID_0h
GSM5513891	RBBP5_RBBP5FKBP_DSG_0h
GSM5509823	DPY30mAID_0h_TT_seq_Rep1
GSM5509824	DPY30mAID_0h_TT_seq_Rep2
GSM5509825	DPY30mAID_24h_TT_seq_Rep1
GSM5509826	DPY30mAID_24h_TT_seq_Rep2
GSM5509827	DPY30mAID_8h_TT_seq_Rep1
GSM5509828	DPY30mAID_8h_TT_seq_Rep2
GSM5509829	DPY30mAID_Auxin_DRB_0min
GSM5509830	DPY30mAID_Auxin_DRB_10min
GSM5509831	DPY30mAID_Auxin_DRB_20min
GSM5509832	DPY30mAID_Auxin_DRB_30min
GSM5509833	DPY30mAID_DMSO_DRB_0min
GSM5509834	DPY30mAID_DMSO_DRB_10min
GSM5509835	DPY30mAID_DMSO_DRB_20min
GSM5509836	DPY30mAID_DMSO_DRB_30min
GSM5509837	RBBP5FKBP_0h_TT_seq_Rep1
GSM5509838	RBBP5FKBP_0h_TT_seq_Rep2
GSM5509839	RBBP5FKBP_24h_TT_seq_Rep1
GSM5509840	RBBP5FKBP_24h_TT_seq_Rep2
GSM5509841	RBBP5FKBP_8h_TT_seq_Rep1
GSM5509842	RBBP5FKBP_8h_TT_seq_Rep2
GSM7187862	INTS11FKBP_0h_TT_seq_Rep1
GSM7187863	INTS11FKBP_0h_TT_seq_Rep2
GSM7187864	INTS11FKBP_2h_TT_seq_Rep1
GSM7187865	INTS11FKBP_2h_TT_seq_Rep2
GSM7187866	INTS11FKBP_8h_TT_seq_Rep1
GSM7187867	INTS11FKBP_8h_TT_seq_Rep2
